title,artist_name,release,year,tag,caption_writing
Adlai Stevenson,Sufjan Stevens,The Avalanche,2006,['pop rock' 'folk' 'indie'],"This song is a dynamic blend of pop rock, indie, and folk, layered with textured instrumentals and a poignant message that will have you humming along for days."
Myami Style,Bass Junkie,Comply,2004,['electro' 'electronic' 'bass'],Get ready to dance to the infectious beat of this electronic masterpiece as the pulsating bass and electro energy submerge you into a sonic euphoria.
Got No Place To Go,Gabriella Cilmi,Lessons To Be Learned,2008,"['confident' 'smooth' 'partying' 'celebratory' 'jazz' 'bright'
 'girls night out' 'light' 'pop' 'amiable good natured' 'passionate'
 'sentimental' 'rousing' 'whimsical' 'brassy' 'contemporary pop rock'
 'stylish' 'sensual' 'energetic' 'female vocalists' 'yearning' 'teen pop'
 'pop rock' 'summery' 'summer' 'lively' 'contemporary singer songwriter'
 'slick' 'freewheeling']","Get ready for a wild and playful girls night out with an energetic and celebratory contemporary pop rock anthem that is both sentimentally yearning and passionately confident featuring slick female vocalists, a brassy and lively jazz-infused sound, and a freewheeling, whimsical essence that is perfect for summer partying and feel-good fun with its smooth and stylish blend of pop and rousing beats, all wrapped up in a contemporary singer-songwriter style that is both amiable and good-natured, while still being sensual and delightfully whimsical."
Warakurna,Midnight Oil,Diesel And Dust,1987,"['cathartic' 'bitter' 'earnest' 'urgent' 'reflective' 'confident'
 'aussie rock' 'brooding' 'aggressive' 'revolutionary' 'intense'
 'road trip' 'alternative pop rock' 'acerbic' 'rock' 'literate'
 'album rock' 'confrontational' 'passionate' 'college rock' 'rousing'
 'uncompromising' 'street smart' 'empowering' 'cerebral'
 'alternative indie rock' 'rebellious' 'pop rock' 'visceral']","This album of alternative indie rock is an uncompromising mix of bitter, confrontational, and aggressive tracks that are both empowering and revolutionary, with deep, brooding lyrics that are both literate and street smart. The intense, passionate, and cathartic songs are alternately acerbic and empowering, with urgent and visceral melodies that are both rousing and rebellious. From road trip college rock to alternative pop rock, the album is an earnest and confident mix of pop rock and album rock that is both cerebral and reflective, ideal for those seeking an alternative to mainstream rock. With its deep, introspective lyrics and urgent, uncompromising melodies, this is an album that demands to be heard."
So And So,Holly Cole,Don't Smoke in Bed,1993,"['reserved' 'elegant' 'laid back mellow' 'romantic evening' 'standards'
 'jazz' 'melancholy' 'sophisticated' 'dinner ambiance' 'stylish' 'sensual'
 'rainy day' '90s' 'female vocalists' 'reflection' 'intimate' 'vocal'
 'traditional pop' 'vocal jazz']","This sultry and refined track features a reserved, laid back mellow vibe with the sophisticated and elegant female vocalists reminiscent of traditional pop and vocal jazz of the 90s - perfect for a melancholic, rainy day or a romantic evening ambiance. The song sets an intimate and stylish dinner mood with a touch of sensuality and reflection, making it an ideal choice for jazz enthusiasts who appreciate the standards."
Travellers Tune,Ocean Colour Scene,Anthology,1996,['rock' 'pop rock'],This high-energy pop rock anthem is infused with electrifying guitar riffs and a driving beat that brings out the best elements of rock.
Pleasure And Pain,Idlewild,I Understand It,2005,['indie rock'],"This indie rock song features a raw, guitar-driven sound that captures the rebellious spirit of the genre."
Goin' Steady,Faron Young,Live Fast_ Love Hard_ Die Young (Best of_ Vol. 1),1994,['country'],"This song has a classic, nostalgic feel to it with a twangy, country-inspired sound."
Relaxin' At Camarillo,Tommy Flanagan,Complete Originals Recordings,0,['jazz'],Swing to the smooth rhythms and soulful melodies of this jazz-infused track.
Innerspace,Bruce Dickinson,Skunkworks,0,"['cathartic' 'provocative' 'hostile' 'aggressive' 'revolutionary'
 'intense' 'theatrical' 'confrontational' 'heavy metal' 'fiery' 'pop rock'
 'angry' 'volatile' 'visceral']","Get ready to unleash your inner rebel with this fierce and fiery pop rock anthem, featuring intense heavy metal riffs and confrontational lyrics that are both provocative and cathartic, creating a visceral and volatile experience that is both aggressive and hostile - making it the perfect choice for those in need of a revolutionary and theatrical release of their pent-up anger."
Thick As Thieves,The Jam,The Jam At The BBC,1979,"['cathartic' 'exuberant' 'earnest' 'punk' 'urgent' 'reflective'
 'confident' 'aggressive' 'intense' 'coolncocky' 'rowdy' 'punk new wave'
 'literate' 'confrontational' 'brash' 'passionate' 'rousing' 'raucous'
 'tense anxious' 'street smart' 'stylish' 'energetic' 'fiery'
 'alternative indie rock' 'swaggering' 'new wave' 'rebellious' 'pop rock'
 'angry' 'volatile' 'visceral' 'british punk']","Get ready to rock out with this confrontational and intense alternative indie rock anthem that combines brash punk and rousing new wave elements to create an exuberant and rowdy sound, complete with swaggering vocals and passionate lyrics that reflect a street-smart, rebellious attitude that is both literate and reflective while still maintaining a sense of urgency and catharsis, making it perfect for anyone looking for a visceral and cathartic musical experience that is both explosive and stylish."
009,Apulanta,Aivan kuin kaikki muutkin,1998,['punk' 'pop rock'],Get ready to rock out with this infectious pop rock anthem infused with a hint of punk energy that will have you singing along all night long.
One Trick Pony,Holly Cole,Romantically Helpless,2000,['romantic evening' 'romantic' 'standards' 'jazz' 'vocal'],"This vocal jazz song, filled with romantic standards, is the perfect addition to a romantic evening with its sultry tones and smooth melodies."
Leave Wit You (I Think I Wanna),3LW,A Girl Can Mack,2002,['sexy' 'rnb' 'catchy' 'urban' 'dance' 'teen pop' 'pop rock' 'strong'],"Get ready to move and groove to this catchy pop rock and R&B infused dance anthem that exudes a strong and sexy urban vibe, perfect for any modern day teen pop enthusiast."
Worms,Comecon,Converging Conspiracies,1993,['death metal' 'heavy metal' 'metal' 'pop rock'],"This high-energy song features a fusion of pop rock, heavy metal, death metal, and metal elements, resulting in an intense and unforgettable listening experience."
Beware The Moon,The Krewmen,The Final Adventures Of The Krewmen Part 1,1991,['punk' 'rockabilly' 'psychobilly'],"This high-energy track fuses the rebellious spirit of punk with the raw, twangy guitar licks of rockabilly, all while dripping with the macabre energy that defines psychobilly."
Doin' It,Professor Longhair,Rock'N Roll Gumbo,1985,"['hanging out' 'at the beach' 'greasy' 'confident' 'new orleans blues'
 'regional blues' 'theatrical' 'bright' 'boisterous' 'rnb'
 'amiable good natured' 'passionate' 'rollicking' 'bravado' 'street smart'
 'earthy' 'freedom' 'stylish' 'energetic' 'spicy' 'celebration'
 'swaggering' 'blues' 'summery' 'new orleans rnb' 'summer' 'gritty'
 'playful']","Get ready to feel the sizzling energy of New Orleans R&B with this rollicking, playful, and stylish track that's infused with spicy, earthy blues and swaggering bravado, perfect for hanging out at the beach or any summer celebration, radiating a bright, amiable good-natured vibe that's brimming with confident, street smart passion and freedom, all wrapped up in a boisterous, gritty, and theatrical performance that captures the regional essence of New Orleans blues."
Not Kinda Worried,The Soundtrack of Our Lives,A Present From The Past,2005,"['cathartic' 'psychedelic rock' 'earnest' 'indie rock' 'reflective'
 'confident' 'brooding' 'somber' 'neo psychedelia' 'literate' 'melancholy'
 'amiable good natured' 'carefree' 'lush' 'sophisticated' 'dreamy'
 'complex' 'rocknroll' 'ambitious' 'alternative indie rock'
 'progressive rock' 'rebellious' 'elaborate' 'pop rock' 'poignant'
 'atmospheric' 'refined' 'playful' 'enigmatic']","This sprawling and sophisticated progressive rock odyssey channels the elaborate yet refined atmospheres of alternative indie rock and pop rock, with lush arrangements and poignant lyricism that captures both amiable good natured earnestness and cathartic, brooding ambition. From the dreamy, neo-psychedelic soundscapes of the reflective and enigmatic, to the psychedelic rock-infused playfulness of the more carefree, rock'n'roll-ready moments, this album is a literate and complex tour-de-force that will leave you both somber and uplifted."
Janeiro,Solid Sessions,Chill The Beach,2000,['trance'],This mesmerizing track will transport you to another dimension with its hypnotic trance beats.
Green Lights (Remastered Album Version),Bonnie Raitt,Green Light,1982,"['blues rock' 'marching' 'rock' 'album rock' 'contemporary pop rock'
 'pop rock' 'blues' 'strong' 'lively']","This song is a lively contemporary pop rock track with elements of blues rock and album rock, featuring a strong and marching beat that's perfect for fans of both blues and rock music."
Sanctuary,Gabriella Cilmi,Sanctuary,2007,['jazz' 'pop' 'soul' 'pop rock'],This soulful pop rock song combines elements of jazz and mainstream pop to create a dynamic and catchy tune.
Release Me,Junior Kimbrough,You Better Run: The Essential Junior Kimbrough,2002,"['modern delta blues' 'regional blues' 'rowdy' 'rambunctious'
 'electric delta blues' 'uncompromising' 'modern electric blues' 'earthy'
 'fiery' 'delta blues' 'blues' 'gritty' 'visceral' 'freewheeling']","This track is an uncompromising and rowdy blend of regional and modern electric blues, with visceral and freewheeling instrumentation that delves into the earthy rhythms of both electric and delta blues styles. The gritty and fiery vocals take the listener on a rambunctious ride through the depths of modern delta blues, creating a truly wild and unforgettable listening experience."
I'll Always Have Faith In You  (LP Version),Carla Thomas,Beg_ Scream & Shout!: Vol. 2,0,['soul'],"This heart-wrenching ballad is filled with soulful vocals and raw emotion, carrying listeners on a journey of love and loss."
Aluga-se-vende,Móveis Coloniais de Acaju,Idem,2005,['rock' 'alternative' 'brazilian traditions' 'international' 'indie'],This track seamlessly blends international indie and alternative rock elements with a hint of Brazilian traditions for a truly unique sound that is both familiar and fresh.
Forget To Remember,Mudvayne,By The People_ For The People,2005,"['cathartic' 'hostile' 'partying' 'malevolent' 'aggressive' 'intense'
 'guys night out' 'hedonistic' 'confrontational' 'heavy metal' 'rousing'
 'alternative metal' 'raucous' 'fiery' 'angst ridden' 'ominous' 'metal'
 'pop rock' 'bleak']","This aggressive and confrontational alternative metal and pop rock song is intense and cathartic, with an ominous and hostile vibe that will leave you feeling roused and ready for anything. The heavy metal and angst ridden lyrics are raucous and hedonistic, perfect for a guys night out, but the underlying malevolent and fiery energy is anything but celebratory. This is a bleak yet invigorating tune that will get your blood pumping and your adrenaline flowing."
